YEAR,DESCRIPTION,WEIGHT,UNITS,1,2,3,4,5,6,7,8,9,10,11,12
2015,SALTED,750,12,0,0,0,0,0,0,0,0,1,1,0,0
2016,NATURAL,700,12,3,5,4,3,2,3,16,7,15,20,9,6
2016,NATURAL,1,12,11,6,7,6,7,17,14,18,16,15,13,16
2016,NATURAL,200,24,6,3,0,3,1,5,5,1,3,0,0,2
2016,SWEET,750,12,0,1,0,1,0,0,0,1,0,0,2,1
2016,SALTED,750,12,0,0,0,1,0,1,0,2,1,0,0,3
2016,SPICY,750,12,0,0,0,0,0,0,0,0,0,0,1,0
2015,NATURAL,700,12,27,18,27,21,20,21,33,44,39,19,41,31
2015,NATURAL,1,12,12,23,18,10,26,11,14,17,14,26,0,12
2015,SWEET,750,12,0,0,1,0,0,0,1,1,0,0,0,0
2015,NATURAL,700,12,8,10,12,23,17,8,12,10,12,21,13,19
2015,NATURAL,1,12,8,6,10,10,14,16,6,10,14,17,30,18
2015,NATURAL,200,24,5,5,4,3,5,3,16,5,9,3,10,6
2015,SWEET,750,12,0,0,0,2,1,0,2,2,9,0,1,13
2015,SALTED,750,12,0,0,0,0,9,1,1,8,10,8,2,8
2017,NATURAL,700,12,2,2,5,20,9,15,12,20,10,12,27,14
2017,NATURAL,1,12,20,32,18,13,10,10,11,9,9,1,3,17
2017,NATURAL,200,24,2,3,5,1,3,9,2,5,7,6,4,4
2017,SWEET,750,12,2,0,0,1,0,0,1,0,0,0,0,0
2015,NATURAL,700,12,37,59,58,61,61,95,51,72,60,42,62,108
2015,NATURAL,1,12,38,36,49,53,71,53,41,40,55,72,49,65
2015,NATURAL,200,24,10,0,12,23,22,8,9,24,36,27,20,32
2015,SWEET,750,12,7,3,11,5,4,5,1,5,4,5,9,24
2015,SALTED,750,12,3,3,1,1,7,2,2,24,15,20,14,1
2015,NATURAL,700,12,20,25,27,22,41,36,20,32,19,34,31,44
2015,NATURAL,1,12,13,11,13,22,21,21,32,12,19,13,17,2
2015,SWEET,750,12,1,0,0,1,2,0,0,0,0,1,1,3
2015,SALTED,750,12,0,0,0,0,1,1,1,0,0,0,0,1
2015,NATURAL,700,12,0,4,8,2,13,14,19,0,0,0,0,0
2015,NATURAL,1,12,7,12,5,19,12,8,5,25,23,20,15,11
2015,SWEET,750,12,0,0,0,0,0,0,0,0,0,1,0,4
2015,SALTED,750,12,1,2,1,1,0,6,0,0,1,0,3,0
2015,NATURAL,700,12,1,0,1,0,0,12,10,1,9,4,6,7
2015,NATURAL,1,12,0,1,3,3,3,4,12,10,6,10,8,2
2015,SWEET,750,12,0,0,0,0,0,1,0,0,0,0,0,1
2015,SALTED,750,12,0,0,0,0,0,0,2,0,1,2,0,1
2015,NATURAL,700,12,8,16,4,7,17,20,20,13,14,10,15,15
2015,NATURAL,1,12,23,22,13,15,22,14,19,38,38,35,29,11
2015,SWEET,750,12,1,1,0,0,0,1,1,0,0,1,0,1
2015,SALTED,750,12,2,3,3,3,3,4,1,2,0,5,0,5
2015,NATURAL,700,12,14,18,9,22,13,13,12,17,10,10,6,19
2015,NATURAL,1,12,16,15,27,16,29,18,19,23,12,19,12,12
2015,SWEET,750,12,0,2,0,1,0,1,3,2,3,1,0,1
2015,SALTED,750,12,3,1,0,0,0,2,3,1,1,5,3,1
2017,SALTED,750,12,1,2,2,1,0,0,0,0,0,0,0,6
2017,SPICY,750,12,0,3,0,1,0,1,0,0,0,0,0,0
2018,NATURAL,700,12,24,13,18,9,22,18,29,12,12,9,8,15
2018,NATURAL,1,12,9,8,7,12,12,6,15,12,11,11,11,29
2018,NATURAL,200,24,20,1,0,0,0,1,4,11,4,3,11,7
2018,SWEET,750,12,0,0,0,1,1,1,0,0,0,0,0,1
2018,SALTED,750,12,0,2,3,0,2,1,0,2,0,0,1,1
2018,SPICY,750,12,0,0,0,0,1,0,0,0,0,0,0,1
2015,NATURAL,700,12,6,6,3,0,11,10,7,9,7,13,13,9
